;author;title;year;avgsentlen
PG40853;Frederick+Wallace;Viking+Blood;1932;22.3486544415337
PG2532;Elizabeth+Gaskell;Half+Brothers;1859;32.517587939698494
PG8562;George+MacDonald;Seaboard+Parish;1868;23.22570806100218
PG58988;Ebenezer+Brewer;Character+Sketches;1835;16.124401436552276
PG32769;James+Flecker;Last+Generation;1910;20.245733788395903
PG26714;Manwell;Captain+Bunk;1890;21.760017421602786
PG28689;Mary+MacGregor;Duncan+Polite;1900;24.859444941808416
PG48482;Dinah+Craik;Life+Life;1859;24.160726525017136
PG23695;Francis+Smith;Little+Gray;1886;23.514388489208635
PG17615;Ernest+Glanville;Search+Okapi;1904;20.24185692541857
PG62760;George+Lippard;Mysteries+Florence;1844;26.09501100513573
PG48843;Edwin+Abbott;Philochristus+Memoirs;1892;41.80442708333333
PG29468;Arvid+Paulson;Story+Quixote;1922;35.945726762320646
PG17351;Cheney;Rivals+Acadia;1827;36.39663461538461
PG42491;Robert+Williams;Lady+Eureka;1840;31.251101321585903
PG57976;Cornelia+Meigs;Island+Appledore;1938;26.207322872087495
PG4589;Arthur;Best;1857;18.45134493670886
PG3948;Alfred+Vigny;Cinq+Mars;1829;29.053827751196174
PG62409;Edgar+Burroughs;Girl+from;1922;18.71891342242882
PG53686;Charles+Maturin;Melmoth+Wanderer;1821;27.776310359059018
PG65407;Paul+Bourget;Love+Crime;1869;24.71988246816846
PG18648;George+Walsh;Bumper+White;1913;18.37060158910329
PG36684;Nell+Speed;Molly+Brown;1912;20.079078801331853
PG44254;James;Richelieu+Tale;1829;35.14416567104739
PG43670;Rupert+Holland;Peter+Cotterell;1922;16.921237384817903
PG1207;Rider+Haggard;Nada+Lily;1894;23.83409701374625
PG16396;Mühlbach;Conspiracy+Carbonari;1854;21.768038482095136
PG55166;Mrs+Oliphant;Unjust+Steward;1896;27.51348376444689
PG50760;Charles+Murray;Hassan+Child;1860;33.7356620250177
PG51701;Laura+Richards;Grandmother+Story;1906;17.38753581661891
PG42044;Mrs+Oliphant;Salem+Chapel;1863;26.502713369511593
PG20551;Ray+Cummings;White+Invaders;1932;15.307357738310982
PG7634;Edward+Lytton;Disowned;1829;28.815533980582526
PG51630;James;Delaware+Ruined;1833;39.168257157207435
PG4053;Charlotte+Yonge;Nuttie+Father;1885;25.26257073565077
PG27594;José+Rizal;Eagle+Flight;1888;17.821163012392756
PG30596;André+Maurois;General+Bramble;1921;22.44465770953295
PG8383;Amelia+Edwards;Monsieur+Maurice;1847;20.704137931034484
PG52375;William+Scargill;Blue+Stocking;1827;42.91929242675511
