filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
HU13802	HU13802	Abonyi Lajos	Magduska öröksége : Regény	1833	1898	viaf:68652301	Magyar Elektronikus Könyvtárért Egyesület	1886	NA	hu	52809	NA	NA	M	medium	NA	T3
HU07729	HU07729	Wohl Stefánia	Aranyfüst	1848	1889	viaf:121454816	Magyar Elektronikus Könyvtárért Egyesület	1887	NA	hu	111763	NA	NA	F	long	NA	T3
HU14197	HU14197	Szathmáry Károly, P.	A legszebb herczegnő : Történeti regény Mária Terézia korából	1831	1891	viaf:57487056	Magyar Elektronikus Könyvtárért Egyesület	1888	NA	hu	58893	NA	NA	M	medium	NA	T3
HU00898	HU00898	Mikszáth Kálmán	A beszélő köntös	1847	1910	viaf:46774986	Magyar Elektronikus Könyvtárért Egyesület	1889	NA	hu	23646	NA	NA	M	short	NA	T3
HU16328	HU16328	Tábori Róbert	Görbe hegyek országában : Regény	1855	1906	viaf:73060469	Magyar Elektronikus Könyvtárért Egyesület	1891	NA	hu	24832	NA	NA	M	short	NA	T3
HU12028	HU12028	Abonyi Árpád	A nagyasszony : Regény	1865	1918	viaf:39125767	Magyar Elektronikus Könyvtárért Egyesület	1892	NA	hu	23378	NA	NA	M	short	NA	T3
HU16243	HU16243	Beksics Gusztávné	A bukottak : Regény	1849	1903	NA	Magyar Elektronikus Könyvtárért Egyesület	1892	NA	hu	29198	NA	NA	F	short	NA	T3
HU14125	HU14125	Csiky Gergely	Sisyphus munkája : Regény	1842	1891	viaf:54198282	Magyar Elektronikus Könyvtárért Egyesület	1892	NA	hu	26684	NA	NA	M	short	NA	T3
HU16359	HU16359	Prém József	Félvér : Regény	1850	1910	viaf:162597297	Magyar Elektronikus Könyvtárért Egyesület	1893	NA	hu	34914	NA	NA	M	short	NA	T3
HU16355	HU16355	Kada Elek	A darázs mérge : Regény	1852	1913	viaf:121449348	Magyar Elektronikus Könyvtárért Egyesület	1893	NA	hu	19404	NA	NA	M	short	NA	T3
HU11968	HU11968	Donászy Ferenc	Őserdőkön, tengereken	1858	1923	viaf:1657716 	Magyar Elektronikus Könyvtárért Egyesület	1894	NA	hu	125772	NA	NA	M	long	NA	T3
HU14689	HU14689	Vértesi Arnold	Előre : Regény	1836	1911	viaf:121504813	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	30470	NA	NA	M	short	NA	T3
HU06982	HU06982	Gárdonyi Géza	A lámpás : Regény	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	14590	NA	NA	M	short	NA	T3
HU13445	HU13445	Beöthy László	Két leány és egy legény : Regény	1826	1857	viaf:121409411	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	29473	NA	NA	M	short	NA	T3
HU00954	HU00954	 Mikszáth Kálmán	Szent Péter esernyője	1847	1910	viaf:46774986	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	53010	NA	NA	M	medium	NA	T3
HU14261	HU14261	Pekár Gyula	Lavina :  Regény 	1867	1937	viaf:2057726	Magyar Elektronikus Könyvtárért Egyesület	1895	NA	hu	23916	NA	NA	M	short	NA	T3
HU16127	HU16127	Palotás Fausztin	Salve Regina : Regény	1855	1922	viaf:378155284786787061557	Magyar Elektronikus Könyvtárért Egyesület	1896	NA	hu	27221	NA	NA	M	short	NA	T3
