id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG64635;"Frank Merriwell's First Job; Or, At the Foot of the Ladder";Standish, Burt L.;;1866.0;1945.0;1896.0;1896;['en'];;3;{'Dime novels', 'Merriwell, Frank (Fictitious character) -- Juvenile fiction', 'Adventure stories', 'Railroads -- Employees -- Juvenile fiction'};Burt+Standish;Frank+Merriwell;https://www.worldcat.org/search?q=Burt+Standish+Frank+Merriwell&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1684;The Egoist: A Comedy in Narrative;Meredith, George;;1828.0;1909.0;1897.0;1897;['en'];;64;{'Courtship -- Fiction', 'Psychological fiction', 'England -- Fiction', 'Love stories', 'Egoism -- Fiction'};George+Meredith;Egoist+Comedy;https://www.worldcat.org/search?q=George+Meredith+Egoist+Comedy&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11973;Dialstone Lane, Part 3.;Jacobs, W. W. (William Wymark);;1863.0;1943.0;1900.0;1900;['en'];;4;{'Voyages and travels -- Fiction', 'Treasure troves -- Fiction', 'Ship captains -- Fiction', 'England -- Social life and customs -- Fiction'};Jacobs;Dialstone+Lane;https://www.worldcat.org/search?q=Jacobs+Dialstone+Lane&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG61482;The Mystery of Mrs. Blencarrow;Oliphant, Mrs. (Margaret);;1828.0;1897.0;1800.0;1872;['en'];;34;{'Women -- Social conditions -- Fiction'};Mrs+Oliphant;Mystery+Blencarrow;https://www.worldcat.org/search?q=Mrs+Oliphant+Mystery+Blencarrow&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG39959;"The Three Perils of Man; or, War, Women, and Witchcraft, Vol. 3 (of 3)";Hogg, James;;1770.0;1835.0;1822.0;1822;['en'];;32;{'Historical fiction', 'Scotland -- History -- Robert II, 1371-1390 -- Fiction'};James+Hogg;Three+Perils;https://www.worldcat.org/search?q=James+Hogg+Three+Perils&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14896;The Diamond Master;Futrelle, Jacques;;1875.0;1912.0;1900.0;1900;['en'];;20;{'Detective and mystery stories', 'Fiction'};Jacques+Futrelle;Diamond+Master;https://www.worldcat.org/search?q=Jacques+Futrelle+Diamond+Master&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23007;"The Village Convict: First published in the ""Century Magazine""";Chaplin, Heman White;;1847.0;1924.0;1884.0;1884;['en'];;4;{'Short stories', 'New England -- Social life and customs -- Fiction'};Heman+Chaplin;Village+Convict;https://www.worldcat.org/search?q=Heman+Chaplin+Village+Convict&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34744;The White Man's Foot;Allen, Grant;;1848.0;1899.0;2005.0;1884;['en'];;19;{'National characteristics, Pacific Island -- Juvenile fiction', 'Brothers -- Juvenile fiction', 'Rescues -- Juvenile fiction', 'Volcanoes -- Juvenile fiction', 'Human sacrifice -- Juvenile fiction', 'Superstition -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Pele (Hawaiian deity) -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Hawaii -- Juvenile fiction'};Grant+Allen;White+Foot;https://www.worldcat.org/search?q=Grant+Allen+White+Foot&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28244;The Gay Rebellion;Chambers, Robert W. (Robert William);;1865.0;1933.0;2008.0;1909;['en'];;15;{'Science fiction'};Robert+Chambers;Rebellion;https://www.worldcat.org/search?q=Robert+Chambers+Rebellion&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15737;The Torch and Other Tales;Phillpotts, Eden;;1862.0;1960.0;1928.0;1928;['en'];;20;{'Great Britain -- Social life and customs -- Fiction'};Eden+Phillpotts;Torch+Other;https://www.worldcat.org/search?q=Eden+Phillpotts+Torch+Other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33263;The Third Class at Miss Kaye's: A School Story;Brazil, Angela;;1869.0;1947.0;2003.0;1918;['en'];;32;{'Friendship -- Juvenile fiction', 'Bildungsromans', 'Schools -- Juvenile fiction'};Angela+Brazil;Third+Class;https://www.worldcat.org/search?q=Angela+Brazil+Third+Class&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG21607;Adrift in the Ice-Fields;Hall, Charles Winslow;;1843.0;1916.0;2001.0;1890;['en'];;29;{'Canada -- Juvenile fiction', 'Hunting stories', 'Castaways -- Juvenile fiction'};Charles+Hall;Adrift+Fields;https://www.worldcat.org/search?q=Charles+Hall+Adrift+Fields&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6001;Polly of Pebbly Pit;Roy, Lillian Elizabeth;;1868.0;1932.0;1900.0;1900;['en'];;8;{'Ranch life -- Juvenile fiction', 'Girls -- Juvenile fiction', 'Colorado -- Juvenile fiction'};Lillian+Roy;Polly+Pebbly;https://www.worldcat.org/search?q=Lillian+Roy+Polly+Pebbly&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG40525;Kathie's Soldiers;Douglas, Amanda M.;;1831.0;1916.0;1871.0;1871;['en'];;17;{'Uncles -- Juvenile fiction', 'War -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Soldiers -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Family -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Patriotism -- Juvenile fiction', 'United States -- History -- Civil War, 1861-1865 -- Juvenile fiction', 'Christian life -- Juvenile fiction'};Amanda+Douglas;Kathie+Soldiers;https://www.worldcat.org/search?q=Amanda+Douglas+Kathie+Soldiers&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35729;Peggy Parsons, a Hampton Freshman;Sharp, Annabel;;;;1910.0;1910;['en'];;23;{'Friendship -- Juvenile fiction', 'Women college students -- Juvenile fiction'};Annabel+Sharp;Peggy+Parsons;https://www.worldcat.org/search?q=Annabel+Sharp+Peggy+Parsons&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG35165;"The Crooked Stick; Or, Pollie's Probation";Boldrewood, Rolf;;1826.0;1915.0;1895.0;1895;['en'];;4;{'Australia -- Fiction'};Rolf+Boldrewood;Crooked+Stick;https://www.worldcat.org/search?q=Rolf+Boldrewood+Crooked+Stick&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23780;A Little Girl in Old New York;Douglas, Amanda M.;;1831.0;1916.0;2007.0;1884;['en'];;19;{'New York (N.Y.) -- History -- 1775-1865 -- Fiction'};Amanda+Douglas;Little+Girl;https://www.worldcat.org/search?q=Amanda+Douglas+Little+Girl&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG63572;"The Gold Thread; and, Wee Davie: Two Stories for the Young";Macleod, Norman;;1812.0;1872.0;1867.0;1867;['en'];;5;"{""Children's stories"", 'Christian life -- Juvenile fiction'}";Norman+Macleod;Gold+Thread;https://www.worldcat.org/search?q=Norman+Macleod+Gold+Thread&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG44237;A Family of Noblemen: The Gentlemen Golovliov;Saltykov, Mikhail Evgrafovich;;1826.0;1889.0;1900.0;1868;['en'];;33;{'Domestic fiction', 'Families -- Russia -- Fiction'};Mikhail+Saltykov;Family+Noblemen;https://www.worldcat.org/search?q=Mikhail+Saltykov+Family+Noblemen&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3315;Down the Mother Lode;Hemphill, Vivia;;1889.0;1934.0;;1922;['en'];;23;{'Frontier and pioneer life -- California -- Fiction', 'Short stories, American', 'California -- Gold discoveries -- Fiction'};Vivia+Hemphill;Down+Mother;https://www.worldcat.org/search?q=Vivia+Hemphill+Down+Mother&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG452;Lavengro: The Scholar, the Gypsy, the Priest;Borrow, George;;1803.0;1881.0;1900.0;1852;['en'];;160;{'England -- Fiction', 'Romanies -- Fiction'};George+Borrow;Lavengro+Scholar;https://www.worldcat.org/search?q=George+Borrow+Lavengro+Scholar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37732;"The Emigrant's Lost Son; or, Life Alone in the Forest";Anonymous;;;;1840.0;1840;['en'];;26;{'Guyana -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Blacks -- Guyana -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Robinsonades', 'Survival skills -- Juvenile fiction', 'Fathers and sons -- Juvenile fiction', 'Christian life -- Juvenile fiction'};Anonymous;Emigrant+Lost;https://www.worldcat.org/search?q=Anonymous+Emigrant+Lost&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
